播出日期,剧名,类型,出品方,总集数,播放量(万),评分,豆瓣评分,会员播放占比(%),广告收入(万元),弹幕数(万),完播率(%)
2024-01-05,繁花,都市剧,央视,30,45200,9.2,8.5,68.5,3200,12500,45.2
2024-01-12,大江大河4,年代剧,正午阳光,40,32100,8.8,8.2,55.3,2800,8900,38.5
2024-01-20,三体2,科幻剧,腾讯,25,56800,9.5,8.9,72.1,4500,18900,52.3
2024-02-01,狂飙2,犯罪剧,爱奇艺,30,62500,9.0,8.4,65.8,5200,22000,48.6
2024-02-15,庆余年2,古装剧,腾讯,36,78900,9.3,8.6,70.2,5800,25600,51.2
2024-03-01,与凤行,古装剧,湖南卫视,40,43200,8.2,7.5,58.6,3100,11200,35.8
2024-03-10,花间令,古装剧,优酷,28,28500,7.8,7.0,52.3,2200,8500,28.9
2024-03-22,追风者,年代剧,央视,40,38900,8.5,7.8,60.1,2800,9800,40.5
2024-04-01,哈尔滨1944,谍战剧,湖南卫视,45,35200,8.0,7.2,55.8,2500,7600,32.1
2024-04-15,承欢记,都市剧,央视,38,29800,7.9,7.1,50.5,2100,6200,29.5
2024-05-01,我的阿勒泰,文艺剧,央视,8,18500,9.4,8.8,62.3,1500,4200,55.8
2024-05-10,微暗之火,悬疑剧,优酷,24,21500,7.6,6.8,48.9,1800,5800,25.3
2024-05-20,狐妖小红娘月红篇,古装剧,爱奇艺,38,32800,7.5,6.5,54.2,2400,8200,27.6
2024-06-01,玫瑰的故事,都市剧,央视,38,56200,8.7,8.0,66.8,4200,15800,44.5
2024-06-12,墨雨云间,古装剧,优酷,40,48500,8.1,7.3,58.5,3500,10200,36.2
2024-06-25,度华年,古装剧,腾讯,40,35800,7.8,7.0,53.6,2600,7500,30.5
2024-07-01,长相思2,古装剧,腾讯,26,62800,8.9,8.3,68.5,4800,16800,49.8
2024-07-10,错位,悬疑剧,爱奇艺,12,22500,8.0,7.4,55.2,1900,5600,33.5
2024-07-20,唐朝诡事录2,古装剧,央视,40,41200,8.6,8.0,60.8,3000,9500,41.2
2024-08-01,九部的检察官,悬疑剧,湖南卫视,24,26800,7.9,7.2,52.5,2000,6800,31.8
2024-08-10,柳舟记,古装剧,腾讯,40,31500,7.7,6.9,51.8,2300,7200,28.5
2024-08-20,边水往事,犯罪剧,央视,16,38500,8.8,8.2,62.5,2900,8800,42.6
2024-09-01,雪迷宫,犯罪剧,央视,26,33500,8.2,7.5,56.8,2500,7500,35.2
2024-09-10,凡人歌,都市剧,央视,36,42800,8.5,7.9,60.3,3100,9200,38.9
2024-09-20,半熟男女,都市剧,优酷,32,25800,7.5,6.8,48.6,1900,5500,26.8
2024-10-01,上甘岭,战争剧,央视,24,36200,8.3,7.7,55.8,2700,7800,34.5
2024-10-15,春花焰,古装剧,优酷,40,29500,7.4,6.5,50.2,2200,6500,27.8
2024-10-25,永夜星河,古装剧,腾讯,32,55800,8.6,8.1,65.8,4000,12500,43.2
2024-11-05,好团圆,都市剧,央视,36,31200,8.0,7.4,53.5,2300,6800,32.5
2024-11-15,白夜破晓,悬疑剧,优酷,26,48500,8.5,8.0,63.2,3600,11200,40.8
