销售日期,车型,品牌,续航里程(km),电池容量(kWh),售价(万元),月销量(辆),充电时间(h),车型类别,销售区域
2024-01-15,Model 3,特斯拉,606,60,23.19,12500,8,轿车,华东
2024-01-20,汉EV,比亚迪,715,85,21.98,9800,10,轿车,华南
2024-02-10,ES6,蔚来,610,100,35.80,6200,12,SUV,华北
2024-02-18,理想L7,理想,1315,42.8,33.98,8500,6,SUV,华东
2024-03-05,P7,小鹏,670,71,23.99,4500,9,轿车,华南
2024-03-12,M5 EV,问界,620,80,28.98,5200,8,SUV,西南
2024-03-22,EU5,北汽,501,50,13.59,3200,8,轿车,华北
2024-04-01,ZEEKR 001,极氪,712,100,30.00,3800,10,轿车,华东
2024-04-08,海豚,比亚迪,420,44.9,11.68,18000,6,轿车,华南
2024-04-15,Model Y,特斯拉,660,75,26.39,15000,8,SUV,华东
2024-05-03,ET5,蔚来,560,75,29.80,4200,11,轿车,华南
2024-05-10,元PLUS,比亚迪,510,60,14.98,22000,7,SUV,华北
2024-05-20,L9,理想,1315,44.5,45.98,6800,6,SUV,华东
2024-06-01,G9,小鹏,702,98,30.99,2800,10,SUV,华南
2024-06-12,哪吒S,哪吒,715,88,19.98,2100,10,轿车,西南
2024-06-25,深蓝SL03,长安,705,66,16.89,5500,8,轿车,华北
2024-07-05,阿维塔11,阿维塔,555,90,34.99,1800,12,SUV,华东
2024-07-18,飞凡R7,飞凡,642,77,27.99,1500,10,轿车,华南
2024-07-28,智己LS7,智己,625,100,35.98,1200,12,SUV,华东
2024-08-10,极狐阿尔法S,极狐,708,93.6,25.78,2800,10,轿车,华北
2024-08-20,埃安AION S,广汽,510,58.8,14.68,12000,7,轿车,华南
2024-09-01,问界M7 EV,问界,630,90,31.98,7500,9,SUV,西南
2024-09-15,蔚来EC6,蔚来,615,75,39.80,3500,11,SUV,华东
2024-10-02,比亚迪秦PLUS EV,比亚迪,600,71.7,14.98,25000,8,轿车,华南
2024-10-12,特斯拉Model 3焕新版,特斯拉,668,60,24.59,18000,8,轿车,华东
2024-10-25,理想MEGA,理想,710,102,55.98,3500,12,MPV,华东
2024-11-05,小鹏X9,小鹏,702,101,37.98,2800,10,MPV,华南
2024-11-18,极氪007,极氪,870,100,20.99,6500,10,轿车,华北
2024-12-01,蔚来ET9,蔚来,650,120,78.80,1500,15,轿车,华东
