营业日期,门店名称,城市,饮品类型,杯型,月销量(杯),客单价(元),营业收入(元),成本(元),毛利率(%),顾客评分
2024-01-05,星巴克国金店,上海,美式咖啡,中杯,3200,35.5,113600,45440,60.0,4.5
2024-01-08,瑞幸南京路店,上海,拿铁,大杯,5800,22.0,127600,51040,60.0,4.2
2024-01-12,Manner静安寺店,上海,美式咖啡,小杯,2100,15.0,31500,12600,60.0,4.3
2024-01-18,星巴克三里屯店,北京,拿铁,大杯,4500,38.0,171000,68400,60.0,4.6
2024-01-22,瑞幸国贸店,北京,美式咖啡,中杯,6200,20.0,124000,49600,60.0,4.1
2024-02-01,Manner嘉里中心店,北京,拿铁,中杯,2800,20.0,56000,22400,60.0,4.4
2024-02-05,星巴克天河城店,广州,摩卡,大杯,3800,36.0,136800,54720,60.0,4.3
2024-02-10,瑞幸珠江新城店,广州,拿铁,中杯,5500,21.0,115500,46200,60.0,4.0
2024-02-15,Manner太古汇店,广州,美式咖啡,小杯,1900,15.0,28500,11400,60.0,4.2
2024-03-01,星巴克太古里店,成都,拿铁,大杯,3200,35.0,112000,44800,60.0,4.5
2024-03-08,瑞幸春熙路店,成都,美式咖啡,中杯,4800,19.0,91200,36480,60.0,3.9
2024-03-15,MannerIFS店,成都,拿铁,中杯,2200,20.0,44000,17600,60.0,4.3
2024-03-20,星巴克解放碑店,重庆,摩卡,中杯,2800,33.0,92400,36960,60.0,4.2
2024-04-01,瑞幸观音桥店,重庆,拿铁,大杯,5200,22.0,114400,45760,60.0,4.1
2024-04-08,Manner时代天街店,重庆,美式咖啡,小杯,1800,15.0,27000,10800,60.0,4.0
2024-04-15,星巴克西湖店,杭州,拿铁,大杯,4100,37.0,151700,60680,60.0,4.7
2024-04-22,瑞幸武林广场店,杭州,美式咖啡,中杯,5900,20.0,118000,47200,60.0,4.2
2024-05-01,Manner湖滨店,杭州,拿铁,中杯,2600,20.0,52000,20800,60.0,4.5
2024-05-10,星巴克新天地店,上海,卡布奇诺,大杯,3500,38.0,133000,53200,60.0,4.6
2024-05-18,瑞幸人民广场店,上海,拿铁,中杯,6100,21.0,128100,51240,60.0,4.0
2024-05-25,Manner徐家汇店,上海,美式咖啡,小杯,2400,15.0,36000,14400,60.0,4.3
2024-06-01,星巴克王府井店,北京,拿铁,大杯,4300,36.0,154800,61920,60.0,4.5
2024-06-08,瑞幸西单店,北京,美式咖啡,中杯,6500,20.0,130000,52000,60.0,4.1
2024-06-15,Manner三里屯店,北京,拿铁,中杯,3000,20.0,60000,24000,60.0,4.4
2024-06-20,星巴克正佳广场店,广州,摩卡,大杯,3900,36.0,140400,56160,60.0,4.3
2024-07-01,瑞幸天环店,广州,拿铁,中杯,5700,21.0,119700,47880,60.0,4.0
2024-07-08,MannerK11店,广州,美式咖啡,小杯,2000,15.0,30000,12000,60.0,4.2
2024-07-15,星巴克远洋太古里店,成都,拿铁,大杯,3400,35.0,119000,47600,60.0,4.5
2024-07-22,瑞幸交子大道店,成都,美式咖啡,中杯,5000,19.0,95000,38000,60.0,3.9
2024-08-01,Manner万象城店,成都,拿铁,中杯,2300,20.0,46000,18400,60.0,4.3
